15,1,0,1,0,1,0.17965006828308105,Truck,0,12,2,3,8,6,5,11,7,1,14,4,13,9,10,0,Drones
15,1,1,1.0,30,1,0.1828479766845703,Truck,0,12,2,3,8,6,5,11,7,14,4,13,9,10,0,Drones,7-1-14
15,1,1,1.0,45,1,0.5527009963989258,Truck,0,10,9,13,4,14,7,11,5,6,8,3,2,0,Drones,2-12-0,14-1-7
15,1,1,1.0,60,1,1.051990032196045,Truck,0,2,3,6,5,1,4,9,10,0,Drones,0-12-2,1-14-4,3-8-6,4-13-9,5-7-1,6-11-5
15,1,1,1.0,75,1,2.24819278717041,Truck,0,9,7,1,5,6,8,2,0,Drones,0-13-9,1-12-5,2-10-0,5-11-6,7-14-1,8-3-2,9-4-7
15,1,1,1.25,30,1,0.19490694999694824,Truck,0,12,2,3,8,6,5,11,7,14,4,13,9,10,0,Drones,7-1-14
15,1,1,1.25,45,1,0.5847859382629395,Truck,0,10,9,13,4,14,7,11,5,6,8,3,2,0,Drones,2-12-0,14-1-7
15,1,1,1.25,60,1,1.2130849361419678,Truck,0,2,3,6,5,1,4,9,10,0,Drones,0-12-2,1-14-4,3-8-6,4-13-9,5-7-1,6-11-5
15,1,1,1.25,75,1,2.404345750808716,Truck,0,9,7,1,5,6,8,2,0,Drones,0-13-9,1-12-5,2-10-0,5-11-6,7-14-1,8-3-2,9-4-7
15,1,1,1.5,30,1,0.23616933822631836,Truck,0,12,2,3,8,6,5,11,7,14,4,13,9,10,0,Drones,7-1-14
15,1,1,1.5,45,1,0.6302027702331543,Truck,0,10,9,13,4,14,7,11,5,6,8,3,2,0,Drones,2-12-0,14-1-7
15,1,1,1.5,60,1,1.2207667827606201,Truck,0,2,3,6,5,1,4,9,10,0,Drones,0-12-2,1-14-4,3-8-6,4-13-9,5-7-1,6-11-5
15,1,1,1.5,75,1,2.646239995956421,Truck,0,9,7,1,5,6,8,2,0,Drones,0-13-9,1-12-5,2-10-0,5-11-6,7-14-1,8-3-2,9-4-7
15,1,1,1.75,30,1,0.23967289924621582,Truck,0,12,2,3,8,6,5,11,7,14,4,13,9,10,0,Drones,7-1-14
15,1,1,1.75,45,1,0.6823921203613281,Truck,0,10,9,13,4,14,7,11,5,6,8,3,2,0,Drones,2-12-0,14-1-7
15,1,1,1.75,60,1,1.4196381568908691,Truck,0,2,3,6,5,1,4,9,10,0,Drones,0-12-2,1-14-4,3-8-6,4-13-9,5-7-1,6-11-5
