20,1,0,1,0,1,0.4862222671508789,Truck,0,4,14,2,19,9,10,5,18,17,8,13,3,12,7,16,15,1,11,6,0,Drones
20,1,1,1.0,30,1,0.8703970909118652,Truck,0,4,6,11,1,15,16,12,3,8,18,5,10,9,19,2,0,Drones,2-14-0,3-13-8,8-17-18,16-7-12
20,1,1,1.0,45,1,3.9521849155426025,Truck,0,16,11,1,15,12,3,13,5,10,2,9,19,0,Drones,0-4-16,3-8-13,5-17-10,10-14-2,13-18-5,16-7-11,19-6-0
20,1,1,1.0,60,1,2.7641208171844482,Truck,0,19,9,10,5,13,3,15,7,4,0,Drones,0-6-19,3-1-15,4-14-0,5-8-13,7-16-4,9-18-10,10-17-5,13-12-3,15-11-7,19-2-9
20,1,1,1.0,75,1,6.480907678604126,Truck,0,19,6,16,13,8,17,5,2,4,0,Drones,0-1-19,2-14-4,4-7-0,5-9-2,6-15-16,8-10-17,13-3-8,16-12-13,17-18-5,19-11-6
20,1,1,1.25,30,1,0.8538970947265625,Truck,0,4,6,11,1,15,16,12,3,8,18,5,10,9,19,2,0,Drones,2-14-0,3-13-8,8-17-18,16-7-12
20,1,1,1.25,45,1,3.5914371013641357,Truck,0,16,11,1,15,12,3,13,5,10,2,9,19,0,Drones,0-4-16,3-8-13,5-17-10,10-14-2,13-18-5,16-7-11,19-6-0
20,1,1,1.25,60,1,2.662412166595459,Truck,0,19,9,10,5,13,3,15,7,4,0,Drones,0-6-19,3-1-15,4-14-0,5-8-13,7-16-4,9-18-10,10-17-5,13-12-3,15-11-7,19-2-9
20,1,1,1.25,75,1,6.10499382019043,Truck,0,19,6,16,13,8,17,5,2,4,0,Drones,0-1-19,2-14-4,4-7-0,5-9-2,6-15-16,8-10-17,13-3-8,16-12-13,17-18-5,19-11-6
20,1,1,1.5,30,1,0.7689259052276611,Truck,0,4,6,11,1,15,16,12,3,8,18,5,10,9,19,2,0,Drones,2-14-0,3-13-8,8-17-18,16-7-12
20,1,1,1.5,45,1,3.285193920135498,Truck,0,16,11,1,15,12,3,13,5,10,2,9,19,0,Drones,0-4-16,3-8-13,5-17-10,10-14-2,13-18-5,16-7-11,19-6-0
20,1,1,1.5,60,1,2.6927359104156494,Truck,0,19,9,10,5,13,3,15,7,4,0,Drones,0-6-19,3-1-15,4-14-0,5-8-13,7-16-4,9-18-10,10-17-5,13-12-3,15-11-7,19-2-9
20,1,1,1.5,75,1,6.133702993392944,Truck,0,19,6,16,13,8,17,5,2,4,0,Drones,0-1-19,2-14-4,4-7-0,5-9-2,6-15-16,8-10-17,13-3-8,16-12-13,17-18-5,19-11-6
20,1,1,1.75,30,1,0.8156168460845947,Truck,0,4,6,11,1,15,16,12,3,8,18,5,10,9,19,2,0,Drones,2-14-0,3-13-8,8-17-18,16-7-12
20,1,1,1.75,45,1,3.983211040496826,Truck,0,16,11,1,15,12,3,13,5,10,2,9,19,0,Drones,0-4-16,3-8-13,5-17-10,10-14-2,13-18-5,16-7-11,19-6-0
20,1,1,1.75,60,1,2.745872735977173,Truck,0,19,9,10,5,13,3,15,7,4,0,Drones,0-6-19,3-1-15,4-14-0,5-8-13,7-16-4,9-18-10,10-17-5,13-12-3,15-11-7,19-2-9
20,1,1,1.75,75,1,6.067670106887817,Truck,0,19,6,16,13,8,17,5,2,4,0,Drones,0-1-19,2-14-4,4-7-0,5-9-2,6-15-16,8-10-17,13-3-8,16-12-13,17-18-5,19-11-6
20,1,1,2.0,30,1,0.8181183338165283,Truck,0,4,6,11,1,15,16,12,3,8,18,5,10,9,19,2,0,Drones,2-14-0,3-13-8,8-17-18,16-7-12
20,1,1,2.0,45,1,3.742471933364868,Truck,0,16,11,1,15,12,3,13,5,10,2,9,19,0,Drones,0-4-16,3-8-13,5-17-10,10-14-2,13-18-5,16-7-11,19-6-0
20,1,1,2.0,60,1,2.5676212310791016,Truck,0,19,9,10,5,13,3,15,7,4,0,Drones,0-6-19,3-1-15,4-14-0,5-8-13,7-16-4,9-18-10,10-17-5,13-12-3,15-11-7,19-2-9
20,1,1,2.0,75,1,5.565501928329468,Truck,0,19,6,16,13,8,17,5,2,4,0,Drones,0-1-19,2-14-4,4-7-0,5-9-2,6-15-16,8-10-17,13-3-8,16-12-13,17-18-5,19-11-6
20,1,2,1.0,30,1,0.8928568363189697,Truck,0,2,19,9,10,5,18,8,3,12,16,15,11,6,4,0,Drones,0-14-2,12-7-16,15-1-11,18-13-8,18-17-8
20,1,2,1.0,45,1,5.287835121154785,Truck,0,16,11,15,12,3,13,5,10,2,9,19,0,Drones,0-4-16,0-7-16,3-8-13,3-17-13,11-1-15,13-18-5,19-6-0,19-14-0
20,1,2,1.0,60,1,3.103519916534424,Truck,0,7,15,3,13,5,10,9,19,0,Drones,0-4-7,5-2-10,5-18-10,7-1-15,7-11-15,13-8-5,13-17-5,15-12-3,15-16-3,19-6-0,19-14-0
20,1,2,1.0,75,1,2.727038860321045,Truck,0,19,6,16,8,5,14,0,Drones,0-2-19,0-7-19,5-10-14,5-13-14,6-1-16,6-15-16,8-17-5,8-18-5,14-4-0,16-3-8,16-12-8,19-9-6,19-11-6
20,1,2,1.25,30,1,0.8822453022003174,Truck,0,2,19,9,10,5,18,8,3,12,16,15,11,6,4,0,Drones,0-14-2,12-7-16,15-1-11,18-13-8,18-17-8
